id,name_en,description_en,related_product_ids,list_price,discounted_price,short_description_en,sku
50,Advanced Pilates &amp; Yoga (Strength),"&lt;p&gt;Advanced Pilates &amp; Yoga will help you to increase your flexibility and tone core muscle groups through an invigorating workout for your whole body. The Pilates workout is a thorough strength-conditioning session that boosts flexibility, endurance and posture. The Yoga workout incorporates legacy and new poses into one continuous routine that will leave you feeling exhausted and fulfilled at once.&lt;/p&gt; &lt;ul&gt; &lt;li&gt;Pilates-Yoga fusion.&lt;/li&gt; &lt;li&gt;Breathing warmup and cooldown.&lt;/li&gt; &lt;li&gt;Hour-long session.&lt;/li&gt; &lt;li&gt;High-definition video.&lt;/li&gt; &lt;ul&gt;",,18,18,"&lt;p&gt; No equipment needed. Advanced Pilates &amp; Yoga (Strength) is a muscle-defining program that employs balance, cardio and flexibility movements with plyometric and body-weight based exercises for an all-around, physically challenging workout. The Pilates elements of this compilation bring gentle resistance principals into the routines, emphasizing safety, technique and range of motion. &lt;/p&gt;",240-LV08
51,Luma Yoga For Life,"&lt;ul&gt;&lt;li&gt;Increase strength + flexibility + metabolism&lt;/li&gt;&lt;li&gt;Burn calories + feel great&lt;/li&gt;&lt;li&gt;Gain energy + youthfulness + mental wellness&lt;/li&gt; &lt;/ul&gt;&lt;h3 style=&quot;margin-top: 30px;&quot;&gt;Download description&lt;/h3&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Tone up mind and body&lt;/strong&gt;Pro Yoga Instructor and Master Practitioner Marie Peale helps tone and sculpt your physique with her invigorating yet gentle approach.&lt;/p&gt;&lt;p&gt;You'll learn to use yoga to relax, control stress and increase your calorie-burning capacity, all while exploring traditional and new yoga poses that lengthen and strengthen your full muscular structure. &lt;/p&gt;&lt;ul&gt;&lt;li&gt;Easy download&lt;/li&gt;&lt;li&gt;Audio options: Music and instruction or instruction only&lt;/li&gt;&lt;li&gt;Heart rate techniques explained&lt;/li&gt;&lt;li&gt;Breathing techniques explained&lt;/li&gt;&lt;li&gt;Move through exercises at your own pace&lt;/li&gt;&lt;/ul&gt;&lt;p&gt;Two 25-minute workout episodes and one 40-minute workout episode with warm-up and cool down:&lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 1&lt;/strong&gt;Creative, fun session geared toward opening your lungs. Combines stretching and breathing with a focus on hips and shoulders. &lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 2&lt;/strong&gt;Ramp up the tempo and energy with calorie-burning flows. A stimulating workout introducing the body-sculpting power of yoga.&lt;/p&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;Episode 3&lt;/strong&gt;Push your fitness reach and stamina with an intense series of standing and floor exercises and poses. End this extra-length session with a meditative cool down.&lt;/p&gt;&lt;h3 style=&quot;margin-top: 30px;&quot;&gt;instructor bio&lt;/h3&gt;&lt;p&gt;&lt;strong style=&quot;display: block; margin: 20px 0 5px;&quot;&gt;About Marie&lt;/strong&gt;Marie is a trained martial artist and dancer with a BS in Biological Engineering and over 10 years as a certified yoga teacher. Marie has studied yoga in England, India and, in 2009, at the Ashraqat Ashram Yoga Farm in the United States. She has been teaching full time since then. Her focus on strength and wellness combines a deep knowledge of human biology and motivation guided by unconditional love for her audience.&lt;/p&gt;",,0,0,"&lt;p&gt; Luma founder Erin Renny on yoga and longevity: &quot;I won't promise you'll live longer with yoga. No one can promise that. But your life will be healthier, less stressful, and more physically in tune when you focus on connecting your mind and body or a regular basis. Yoga is my favorite way to express this connection. I want to share the secrets of lifelong yoga with anyone willing to breathe and learn with me.&quot; &lt;/p&gt;",240-LV09
67,Chaz Kangeroo Hoodie,"&lt;p&gt;Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.&lt;/p&gt; &lt;p&gt;&amp;bull; Two-tone gray heather hoodie.&lt;br /&gt;&amp;bull; Drawstring-adjustable hood. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,52,52,,MH01
83,Teton Pullover Hoodie,"&lt;p&gt;This Teton Pullover Hoodie gives you more than laid-back style. It's equipped with moisture-wicking fabric to keep light and dry inside, especially in chilly-weather workouts. An elasticized hem lets you move about freely.&lt;/p&gt; &lt;p&gt;&amp;bull; Black pullover hoodie.&lt;br /&gt;&amp;bull; Soft, brushed interior. &lt;br /&gt;&amp;bull; Front hand pockets. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,70,70,,MH02
99,Bruno Compete Hoodie,"&lt;p&gt;Stay comfortable and stay in the race no matter what the weather's up to. The Bruno Compete Hoodie's water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.&lt;/p&gt; &lt;p&gt;&amp;bull; Full zip black hoodie pullover. &lt;br /&gt;&amp;bull; Adjustable drawstring hood. &lt;br /&gt;&amp;bull; Ribbed cuffs/waistband. &lt;br /&gt;&amp;bull; Kangaroo pocket. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,63,63,,MH03
115,Frankie Sweatshirt,&lt;p&gt;The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.&lt;/p&gt; &lt;p&gt;&amp;bull; Light green crewneck sweatshirt.&lt;br /&gt;&amp;bull; Hand pockets.&lt;br /&gt;&amp;bull; Relaxed fit.&lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;,,60,50,,MH04
131,Hollister Backyard Sweatshirt,"&lt;p&gt;Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you're raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.&lt;/p&gt; &lt;p&gt;&amp;bull; Cream crewneck sweatshirt with navy sleeves/trim.&lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Ribbed cuffs and hem. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,52,52,,MH05
147,Stark Fundamental Hoodie,"&lt;p&gt;You don't need bells and whistles when performance speaks for itself. The full-zip Stark Fundamental Hoodie give just what you need. Hood and fleece lining keep you warm, while breathable fabric and wicking technology won't let you overheat.&lt;/p&gt; &lt;p&gt;&amp;bull; Navy specked full zip hoodie.&lt;br /&gt;&amp;bull; Ribbed cuffs, banded waist.&lt;br /&gt;&amp;bull; Side pockets. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,42,42,,MH06
163,Hero Hoodie,"&lt;p&gt;Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.&lt;/p&gt; &lt;p&gt;&amp;bull; Full-zip gray and black hoodie.&lt;br /&gt;&amp;bull; Ribbed hem.&lt;br /&gt;&amp;bull; Standard fit.&lt;br /&gt;&amp;bull; Drawcord hood cinch.&lt;br /&gt;&amp;bull; Water-resistant coating.&lt;/p&gt;",,54,42,,MH07
179,Oslo Trek Hoodie,"&lt;p&gt;Chilly weather is just an excuse to throw on your toasty, handsome new Oslo Trek Hoodie. It features an adjustable drawstring hood and a kangaroo pocket for extra hand warmth. The ultra-soft, cozy lining will have you wishing for more brisk days.&lt;/p&gt; &lt;p&gt;&amp;bull; Brown hoodie with black detail.&lt;br /&gt;&amp;bull; Pullover. &lt;br /&gt;&amp;bull; Adjustable drawstring hood. &lt;br /&gt;&amp;bull; Ribbed cuffs/waistband. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,42,42,,MH08
195,Abominable Hoodie,"&lt;p&gt;It took CoolTech&amp;trade; weather apparel know-how and lots of wind-resistant fabric to get the Abominable Hoodie just right. It's aggressively warm when it needs to be, while maintaining your comfort in milder climes.&lt;/p&gt; &lt;p&gt;&amp;bull; Blue heather hoodie.&lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Moisture-wicking. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,69,69,,MH09
211,Mach Street Sweatshirt,"&lt;p&gt;From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech&amp;trade; fabric, it's bound to become an everyday part of your active lifestyle&lt;/p&gt; &lt;p&gt;&amp;bull; Navy heather crewneck sweatshirt.&lt;br /&gt;&amp;bull; LumaTech&amp;trade; moisture-wicking fabric.&lt;br /&gt;&amp;bull; Antimicrobial, odor-resistant.&lt;br /&gt;&amp;bull; Zip hand pockets.&lt;br /&gt;&amp;bull; Chafe-resistant flatlock seams.&lt;br /&gt;&amp;bull; Rib-knit cuffs and hem.&lt;/p&gt;",,62,58,,MH10
227,Grayson Crewneck Sweatshirt,"&lt;p&gt;The Grayson Crewneck Sweatshirt gives you that ageless, classic look &amp;ndash; a style that comes back around nearly every season. What's more, its performance and temp-control values are always in vogue.&lt;/p&gt; &lt;p&gt;&amp;bull; Cream crewneck sweatshirt with black accents.&lt;br /&gt;&amp;bull; 80% cotton/20% polyester fleece. &lt;br /&gt;&amp;bull; Patterned knit hood lining. &lt;br /&gt;&amp;bull; Knit cuffs and waist. &lt;br /&gt;&amp;bull; Pouch pocket. &lt;br /&gt;&amp;bull; Curl edged seam detail&lt;/p&gt;",,64,64,,MH11
243,Ajax Full-Zip Sweatshirt,"&lt;p&gt;The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.&lt;/p&gt; &lt;p&gt;&amp;bull; Mint striped full zip hoodie.&lt;br /&gt;&amp;bull; 100% bonded polyester fleece.&lt;br /&gt;&amp;bull; Pouch pocket.&lt;br /&gt;&amp;bull; Rib cuffs and hem. &lt;br /&gt;&amp;bull; Machine washable.&lt;/p&gt;",,69,69,,MH12
259,Marco Lightweight Active Hoodie,"&lt;p&gt;For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona&amp;reg; fibers pull moisture away.&lt;/p&gt; &lt;p&gt;&amp;bull; Light blue heather full zip hoodie.&lt;br /&gt;&amp;bull; Fitted flatlock seams.&lt;br /&gt;&amp;bull; Matching lining and drawstring. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,74,74,,MH13
275,Beaumont Summit Kit,"&lt;p&gt;The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.&lt;/p&gt; &lt;p&gt;&amp;bull; Yellow full zip rain jacket.&lt;br /&gt;&amp;bull; Full-zip front. &lt;br /&gt;&amp;bull; Stand-up collar. &lt;br /&gt;&amp;bull; Elasticized cuffs. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,42,10,,MJ01
291,Hyperion Elements Jacket,"&lt;p&gt;Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech&amp;trade; insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.&lt;/p&gt; &lt;p&gt;&amp;bull; Lime 1/4 zip pullover.&lt;br /&gt;&amp;bull; Split pocket. &lt;br /&gt;&amp;bull; Thumb holes. &lt;br /&gt;&amp;bull; Machine wash/hang to dry.&lt;/p&gt;",,51,51,,MJ02
307,Kenobi Trail Jacket,"&lt;p&gt;Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.&lt;/p&gt; &lt;p&gt;&amp;bull; Black 1/4 zip pullover with royal zipper. &lt;br /&gt;&amp;bull; Adjustable hood and sleeve cuffs. &lt;br /&gt;&amp;bull; Machine wash/air dry.&lt;/p&gt;",,47,47,,MJ04
323,Orion Two-Tone Fitted Jacket,"&lt;p&gt;While you're getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.&lt;/p&gt; &lt;p&gt;&amp;bull; Red full zip fleece with gray insets.&lt;br /&gt;&amp;bull; Double-knit construction.&lt;br /&gt;&amp;bull; Full athletic cut.&lt;br /&gt;&amp;bull; Set in sleeves.&lt;br /&gt;&amp;bull; Front pouch pocket.&lt;/p&gt;",,72,72,,MJ07
339,Lando Gym Jacket,"&lt;p&gt;The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.&lt;/p&gt; &lt;p&gt;&amp;bull; Gray polyester/spandex full zip jacket with orange lining. &lt;br /&gt;&amp;bull; Right pocket device storage.&lt;br /&gt;&amp;bull; Cocona&amp;reg; performance fabric. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,99,99,,MJ08
355,Taurus Elements Shell,"&lt;p&gt;What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&amp;reg; jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.&lt;/p&gt; &lt;p&gt;&amp;bull; Yellow 1/4 zip pullover. &lt;br /&gt;&amp;bull; Two chest pockets.&lt;br /&gt;&amp;bull; Standard fit. &lt;br /&gt;&amp;bull; Waterproof, breathable, seam sealed. &lt;br /&gt;&amp;bull; Cocona&amp;reg; performance fabric. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,65,55,,MJ09
371,Mars HeatTech&amp;trade; Pullover,"&lt;p&gt;The Mars HeatTech&amp;trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.&lt;/p&gt; &lt;p&gt;&amp;bull; Red 1/4 zip pullover.&lt;br /&gt;&amp;bull; Adjustable VELCRO&amp;reg; sleeve cuffs. &lt;br /&gt;&amp;bull; Two hand pockets. &lt;br /&gt;&amp;bull; Napoleon pocket. &lt;br /&gt;&amp;bull; Machine wash/dry&lt;/p&gt;",,66,66,,MJ10
387,Typhon Performance Fleece-lined Jacket,"&lt;p&gt;Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.&lt;/p&gt; &lt;p&gt;&amp;bull; Black full-zip flight jacket.&lt;br /&gt;&amp;bull; Cocona&amp;reg; wicking fiber.&lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,60,60,,MJ11
403,Jupiter All-Weather Trainer,"&lt;p&gt;Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.&lt;/p&gt; &lt;p&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Hand pockets. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;br /&gt;&amp;bull; Reflective safety trim.&lt;/p&gt;",,56.99,56.99,,MJ06
419,Montana Wind Jacket,"&lt;p&gt;Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.&lt;/p&gt; &lt;p&gt;Adjustable hood. &lt;br /&gt;Split pocket. &lt;br /&gt;Thumb holes. &lt;br /&gt;Machine wash/hang to dry.&lt;/p&gt;",,49,40,,MJ03
435,Proteus Fitness Jackshirt,"&lt;p&gt;Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&amp;reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.&lt;/p&gt; &lt;p&gt;&amp;bull; 1/4 zip. Stand-up collar. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;br /&gt;&amp;bull; Quilted inner layer.&lt;/p&gt;",,45,45,,MJ12
451,Gobi HeatTec&amp;reg; Tee,"&lt;p&gt;When the training gets intense, the Gobi HeatTec&amp;reg; Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that's sure to keep you moving.&lt;/p&gt; &lt;p&gt;&amp;bull; Orange micropolyester shirt.&lt;br /&gt;&amp;bull; HeatTec&amp;reg; wicking fabric.&lt;br /&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MS04
467,Helios EverCool&amp;trade; Tee,"&lt;p&gt;Pumping iron or dialing the track, you've got cool comfort on your side in our short-sleeve Helios EverCool&amp;trade; Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.&lt;/p&gt; &lt;p&gt;&amp;bull; Teal quick dry tee.&lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,24,24,,MS05
483,Ryker LumaTech&amp;trade; Tee (Crew-neck),&lt;p&gt;The crew-neck Ryker LumaTech&amp;trade; Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.&lt;/p&gt; &lt;p&gt;&amp;bull; Royal polyester tee with black accents.&lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Short-Sleeve. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;,,32,30,,MS09
499,Atomic Endurance Running Tee (V-neck),&lt;p&gt;Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.&lt;/p&gt; &lt;p&gt;&amp;bull; Lime heathered v-neck tee. &lt;br /&gt;&amp;bull; Ultra-lightweight.&lt;br /&gt;&amp;bull; Moisture-wicking Cocona&amp;reg; fabric.&lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;,,28,28,,MS11
515,Atomic Endurance Running Tee (Crew-Neck),"&lt;p&gt;Like it's v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona&amp;reg; fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.&lt;/p&gt; &lt;p&gt;&amp;bull; Red polyester tee.&lt;br /&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Cocona&amp;reg; performance fabric. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MS12
531,Balboa Persistence Tee,"&lt;p&gt;The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.&lt;/p&gt; &lt;p&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Semi-fitted. &lt;br /&gt;&amp;bull; Cocona&amp;reg; performance fabric. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MS03
547,Zoltan Gym Tee,"&lt;p&gt;This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.&lt;/p&gt; &lt;p&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MS06
563,Aero Daily Fitness Tee,&lt;p&gt;Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.&lt;/p&gt; &lt;p&gt;Relaxed fit. &lt;br /&gt;Short-Sleeve. &lt;br /&gt;Machine wash/dry.&lt;/p&gt;,,24,15,,MS01
579,Ryker LumaTech&amp;trade; Tee (V-neck),"&lt;p&gt;Don't be fooled by its classic style; the Ryker LumaTech&amp;trade; Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.&lt;/p&gt; &lt;p&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Short-Sleeve. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,28,28,,MS02
595,Logan HeatTec&amp;reg; Tee,"&lt;p&gt;Soft and lightweight, the Logan HeatTec&amp;reg; Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.&lt;/p&gt; &lt;p&gt;&amp;bull; Semi-fitted. &lt;br /&gt;&amp;bull; Crew neckline. &lt;br /&gt;&amp;bull; Machine wash/tumble dry.&lt;/p&gt;",,24,24,,MS10
611,Deion Long-Sleeve EverCool&amp;trade; Tee,"&lt;p&gt;When you're training, ordinary tees don't cut it. That's why the Dion Long-Sleeve EverCool&amp;trade; Tee features revolutionary Cocona&amp;reg; fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.&lt;/p&gt; &lt;p&gt;&amp;bull; Fitted. &lt;br /&gt;&amp;bull; Contrast inner neck tape. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,39,39,,MS07
627,Strike Endurance Tee,"&lt;p&gt;While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.&lt;/p&gt; &lt;p&gt;&amp;bull; Loose fit. &lt;br /&gt;&amp;bull; Ribbed cuffs/collar. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,39,39,,MS08
643,Erikssen CoolTech&amp;trade; Fitness Tank,"&lt;p&gt;A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech&amp;trade; Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.&lt;/p&gt; &lt;p&gt;&amp;bull; Red performance tank.&lt;br /&gt;&amp;bull; Slight scoop neckline. &lt;br /&gt;&amp;bull; Reflectivity. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MT01
659,Tristan Endurance Tank,"&lt;p&gt;Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul.&lt;/p&gt; &lt;p&gt;&amp;bull; White performance tank.&lt;br /&gt;&amp;bull; Stylish contrast stitching. &lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Ribbed crew neckline. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MT02
675,Primo Endurance Tank,"&lt;p&gt;Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball &amp;ndash; this breathable mesh top will keep you cool during all your activities.&lt;/p&gt; &lt;p&gt;&amp;bull; Red heather tank with gray pocket.&lt;br /&gt;&amp;bull; Chafe-resistant flatlock seams. &lt;br /&gt;&amp;bull; Relaxed fit. &lt;br /&gt;&amp;bull; Contrast topstitching.&lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,29,29,,MT03
681,Helios Endurance Tank,"&lt;p&gt;When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.&lt;/p&gt; &lt;p&gt;&amp;bull; Blue heather tank with gray pocket.&lt;br /&gt;&amp;bull; Contrast sides and back inserts.&lt;br /&gt;&amp;bull; Self-fabric binding at neck and armholes. &lt;br /&gt;&amp;bull; Machine wash/dry.&lt;/p&gt;",,32,32,,MT04
